cod_upp;upp;area_2017;delimitacao;data_implantacao;zona
1;Santa Marta;96.796,45;DOERJ n° 044 de 10/03/2011, DOERJ nº 157 de 24/08/2012 e DOERJ n° 238 de 27/12/2018;19/12/2008;sul
2;Cidade de Deus;2.394.810,59;DOERJ n° 039 de 28/02/2011;16/02/2009;oeste
3;Batam;1.183.698,49;DOERJ nº 044 de 10/03/2011 e DOERJ n° 128 de 17/07/2012;18/02/2009;oeste
4;Chapéu Mangueira / Babilônia;172.161,69;DOERJ n° 044 de 10/03/2011;10/06/2009;sul
5;Pavão-Pavãozinho;248.637,83;DOERJ n° 044 de 10/03/2011;23/12/2009;sul
6;Tabajaras;284.557,86;DOERJ n° 044 de 10/03/2011;14/01/2010;sul
7;Providência;679.408,73;DOERJ n° 044 de 10/03/2011;26/04/2010;central
8;Borel;929.967,00;DOERJ n° 044 de 10/03/2011;07/06/2010;norte
9;Formiga;340.450,18;DOERJ n° 044 de 10/03/2011;01/07/2010;norte
10;Andaraí;1.106.428,19;DOERJ n° 044 de 10/03/2011;28/07/2010;norte
11;Salgueiro;389.001,51;DOERJ n° 044 de 10/03/2011;17/09/2010;norte
12;Turano;777.667,39;DOERJ n° 044 de 10/03/2011 e DOERJ n° 236 de 26/12/2012;30/09/2010;norte
13;São João / Matriz / Queto;771.031,51;DOERJ n° 019 de 31/01/2011;28/01/2011;norte
14;Coroa / Fallet / Fogueteiro;714.131,31;DOERJ n° 037 de 24/02/2011, DOERJ n° 161 de 30/08/2012 e DOERJ n° 067 de 12/04/2013;25/02/2011;central
15;Escondidinho / Prazeres;403.053,24;DOERJ n° 037 de 24/02/2011 e DOERJ n° 190 de 10/10/2013;25/02/2011;central
16;São Carlos;769.852,27;DOERJ n° 090 de 17/05/2011;17/05/2011;norte
17;Mangueira;808.291,98;DOERJ n° 215 de 18/11/2011 e DOERJ n° 189 de 09/10/2013;03/11/2011;norte
18;Macacos;930.171,56;DOERJ n° 044 de 10/03/2011;30/10/2010;norte
19;Vidigal;536.700,34;DOERJ n° 037 de 24/02/2011 e DOERJ n° 190 de 10/10/2013;18/01/2012;sul
20;Nova Brasília;818.107,80;DOERJ n° 117 de 29/06/2012 e DOERJ n° 187 de 08/10/2012;18/04/2012;norte
21;Fazendinha;1.240.942,74;DOERJ n° 117 de 29/06/2012;18/04/2012;norte
22;Adeus / Baiana;739.223,02;DOERJ n° 119 de 03/07/2012;11/05/2012;norte
23;Alemão;796.644,23;DOERJ n° 119 de 03/07/2012;30/05/2012;norte
24;Chatuba;474.361,96;DOERJ n° 119 de 03/07/2012;27/06/2012;norte
25;Fé / Sereno;456.563,14;DOERJ n° 119 de 03/07/2012;27/06/2012;norte
26;Parque Proletário;723.843,86;DOERJ n° 168 de 11/09/2012;28/12/2012;norte
27;Vila Cruzeiro;754.209,51;DOERJ n° 168 de 11/09/2012;28/12/2012;norte
28;Rocinha;1.148.960,42;DOERJ n° 187 de 08/10/2012;20/09/2012;sul
29;Jacarezinho;373.665,13;DOERJ n° 016 de 23/01/2013;16/01/2013;norte
30;Manguinhos;637.519,01;DOERJ n° 016 de 23/01/2013;16/01/2013;norte
31;Barreira do Vasco / Tuiuti;526.391,21;DOERJ n° 094 de 24/05/2013 e DOERJ n° 189 de 09/10/2013;12/04/2013;norte
32;Caju;2.965.720,86;DOERJ n° 094 de 24/05/2013;12/04/2013;norte
33;Cerro-Corá;206.410,75;DOERJ n° 116 de 27/06/2013;03/06/2013;sul
34;Arará / Mandela;552.747,17;DOERJ n° 094 de 24/05/2013;06/09/2013;norte
35;Lins;802.927,07;DOERJ n° 011 de 16/01/2014;02/12/2013;norte
36;Camarista Méier;1.693.090,87;DOERJ n° 011 de 16/01/2014;02/12/2013;norte
37;Mangueirinha;2.217.328,27;DOERJ nº 060 de 02/04/2014;07/02/2014;Duque de Caxias, Baixada Fluminense
38;Vila Kennedy;2.289.608,89;DOERJ n° 096 de 29/05/2014;23/05/2014;oeste
